epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,1.766561813621521,36.228,1.4330510744094849,46.42
2,1.1429062992477417,58.622,1.1912056621551514,58.37
3,0.8442938599395752,70.342,0.8036345887184143,71.74
4,0.6764853063964844,76.512,0.7425535108566285,75.16
5,0.5951034127807617,79.568,0.8660214865684509,70.64
6,0.5588735381507873,80.706,0.7608072105407715,74.85
7,0.5084048246383667,82.3,0.9672073286056518,70.07
8,0.4906715854740143,83.16,0.6687176422119141,77.09
9,0.457179290599823,84.34,0.6870137323379517,77.8
10,0.4486622597026825,84.566,0.793028201007843,73.41
11,0.431381586894989,85.138,0.6635751591682434,77.73
12,0.42068366431236265,85.422,0.5642163891792298,80.57
13,0.40763942260742186,85.804,0.7027348097801208,77.17
14,0.40499252672195435,86.132,0.5492135019302368,81.54
15,0.3952930348587036,86.522,0.5488725918769837,81.45
16,0.39674542983055117,86.332,0.6529213522911071,78.53
17,0.38203603367805483,86.9,0.6661421252250671,77.92
18,0.37634271800041197,87.002,0.9560923881530762,73.25
19,0.3799061463928223,86.772,0.5623490774154664,81.06
20,0.37009524386405945,87.466,0.6191907078742981,79.82
